Time (minutes),XRSA (0.5-4 A),XRSB (1-8 A)
1100.8785333315532,0.0,1e-09
1100.912699997425,0.0,7.4746e-07
1100.946816666921,0.0,1e-09
1100.980983332793,0.0,7.5271e-07
1101.0150833328564,0.0,1e-09
1101.0491999983788,0.0,7.5009e-07
1101.0833666642507,0.0,1e-09
1101.117483329773,0.0,7.5009e-07
1101.1516499996185,0.0,1e-09
1101.185749999682,0.0,7.5009e-07
1101.2198666652043,0.0,1e-09
1101.2540333310762,0.0,7.5271e-07
1101.2881499965986,0.0,1e-09
1101.322316666444,0.0,7.5009e-07
1101.3564166665078,0.0,1e-09
1101.39053333203,0.0,7.4484e-07
1101.4246999979018,0.0,1e-09
1101.4588166634242,0.0,7.4746e-07
1101.4929833332696,0.0,1e-09
1101.5270833333334,0.0,7.4484e-07
1101.5611999988555,0.0,1e-09
1101.5953666647276,0.0,7.4484e-07
1101.6294833302497,0.0,1e-09
1101.6635833303133,0.0,7.4222e-07
1101.697750000159,0.0,1e-09
1101.7318666656813,0.0,7.4222e-07
1101.7659833312034,0.0,1e-09
1101.8001499970753,0.0,7.4222e-07
1101.834249997139,0.0,1e-09
1101.8684166669846,0.0,7.3959e-07
1101.902533332507,0.0,1e-09
1101.936649998029,0.0,7.3959e-07
1101.970816663901,0.0,1e-09
1102.0049166639647,0.0,7.3697e-07
1102.0390833298366,0.0,1e-09
1102.0731999993325,0.0,7.3959e-07
1102.1073166648546,0.0,1e-09
1102.1414833307267,0.0,7.4222e-07
1102.1755833307902,0.0,1e-09
1102.2097499966621,0.0,7.3959e-07
1102.243866666158,0.0,1e-09
1102.2779833316804,0.0,7.3697e-07
1102.3121499975523,0.0,1e-09
1102.3462499976158,0.0,7.3697e-07
1102.3804166634877,0.0,1e-09
1102.4145333329836,0.0,7.4222e-07
1102.448649998506,0.0,1e-09
1102.4828166643779,0.0,7.3959e-07
1102.5169166644414,0.0,1e-09
1102.5510833303133,0.0,7.3697e-07
1102.5851999998092,0.0,1e-09
1102.6193166653316,0.0,7.3697e-07
1102.6534833312035,0.0,1e-09
1102.687583331267,0.0,7.3697e-07
1102.7217499971389,0.0,1e-09
1102.7558666666348,0.0,7.3959e-07
1102.7899833321571,0.0,1e-09
1102.824149998029,0.0,7.3697e-07
1102.8582499980926,0.0,1e-09
1102.892366663615,0.0,7.3697e-07
1102.9265333334604,0.0,1e-09
1102.9606499989827,0.0,7.3959e-07
1102.9948166648546,0.0,1e-09
1103.0289166649184,0.0,7.3697e-07
1103.0630333304405,0.0,1e-09
1103.0972000002862,0.0,7.3959e-07
1103.1313166658083,0.0,1e-09
1103.1654833316802,0.0,7.3697e-07
1103.199583331744,0.0,1e-09
1103.233699997266,0.0,7.3697e-07
1103.267866663138,0.0,1e-09
1103.3019833326339,0.0,7.3435e-07
1103.336149998506,0.0,1e-09
1103.3702499985695,0.0,7.3697e-07
1103.4043666640916,0.0,1e-09
1103.4385333299638,0.0,7.3435e-07
1103.4726499994597,0.0,1e-09
1103.5068166653316,0.0,7.3697e-07
1103.5409166653951,0.0,1e-09
1103.5750333309174,0.0,7.3435e-07
1103.6091999967894,0.0,1e-09
1103.6433166662853,0.0,7.3435e-07
1103.6774833321572,0.0,1e-09
1103.7115833322207,0.0,7.3435e-07
1103.745699997743,0.0,1e-09
1103.779866663615,0.0,7.3697e-07
1103.8139833331109,0.0,1e-09
1103.8480833331744,0.0,7.3172e-07
1103.8822499990463,0.0,1e-09
1103.9163666645686,0.0,7.3697e-07
1103.950483330091,0.0,1e-09
1103.9846499999364,0.0,7.3435e-07
1104.01875,0.0,1e-09
1104.0529166658719,0.0,7.3697e-07
1104.0870333313942,0.0,1e-09
1104.1211499969165,0.0,7.3435e-07
1104.155316666762,0.0,1e-09
1104.1894166668255,0.0,7.3959e-07
1104.2235833326974,0.0,1e-09
1104.2576999982198,0.0,7.3697e-07
1104.291816663742,0.0,1e-09
1104.3259833335876,0.0,7.3697e-07
1104.3600833336511,0.0,1e-09
1104.3941999991735,0.0,7.3959e-07
1104.4283666650454,0.0,1e-09
1104.4624833305677,0.0,7.3959e-07
1104.4966499964396,0.0,1e-09
1104.5307499965031,0.0,7.3697e-07
1104.564866665999,0.0,1e-09
1104.599033331871,0.0,7.3959e-07
1104.6331499973933,0.0,1e-09
1104.6673166632652,0.0,7.3697e-07
1104.7014166633287,0.0,1e-09
1104.7355333328246,0.0,7.3697e-07
1104.7696999986968,0.0,1e-09
1104.8038166642189,0.0,7.3697e-07
1104.8379833300908,0.0,1e-09
1104.8720833301545,0.0,7.3697e-07
1104.9061999996504,0.0,1e-09
1104.9403666655223,0.0,7.3435e-07
1104.9744833310444,0.0,1e-09
1105.0086499969163,0.0,7.3697e-07
1105.04274999698,0.0,1e-09
1105.076866666476,0.0,7.3697e-07
1105.111033332348,0.0,1e-09
1105.14514999787,0.0,7.3435e-07
1105.1793166637422,0.0,1e-09
1105.2134166638057,0.0,7.3435e-07
1105.2475333333016,0.0,1e-09
1105.2816999991735,0.0,7.3697e-07
1105.3158166646958,0.0,1e-09
1105.3499833305677,0.0,7.3172e-07
1105.3840833306313,0.0,1e-09
1105.4182000001272,0.0,7.291e-07
1105.452366665999,0.0,1e-09
1105.4864833315214,0.0,7.3172e-07
1105.520583331585,0.0,1e-09
1105.5547499974568,0.0,7.3172e-07
1105.5888666669528,0.0,1e-09
1105.622983332475,0.0,7.3435e-07
1105.657149998347,0.0,1e-09
1105.6912499984105,0.0,7.3435e-07
1105.7254166642824,0.0,1e-09
1105.7595333298048,0.0,7.3172e-07
1105.7936499993007,0.0,1e-09
1105.8278166651726,0.0,7.3435e-07
1105.861916665236,0.0,1e-09
1105.896083331108,0.0,7.3172e-07
1105.9301999966303,0.0,1e-09
1105.9643166661263,0.0,7.3435e-07
1105.9984833319982,0.0,1e-09
1106.0325833320617,0.0,7.3435e-07
1106.0667499979338,0.0,1e-09
1106.100866663456,0.0,7.3697e-07
1106.1349833329518,0.0,1e-09
1106.1691499988237,0.0,7.3697e-07
1106.2032499988875,0.0,1e-09
1106.2374166647594,0.0,7.3697e-07
1106.2715333302815,0.0,1e-09
1106.3056499997774,0.0,7.3697e-07
1106.3398166656493,0.0,1e-09
1106.373916665713,0.0,7.3697e-07
1106.408083331585,0.0,1e-09
1106.442199997107,0.0,7.4222e-07
1106.476316666603,0.0,1e-09
1106.5104833324751,0.0,7.3697e-07
1106.5445833325387,0.0,1e-09
1106.5786999980608,0.0,7.4222e-07
1106.612866663933,0.0,1e-09
1106.6469833334288,0.0,7.3697e-07
1106.6811499993007,0.0,1e-09
1106.7152499993642,0.0,7.3697e-07
1106.7493666648866,0.0,1e-09
1106.7835333307585,0.0,7.3959e-07
1106.8176500002544,0.0,1e-09
1106.8518166661263,0.0,7.3959e-07
1106.8859166661898,0.0,1e-09
1106.9200333317121,0.0,7.3959e-07
1106.954199997584,0.0,1e-09
1106.9883166631064,0.0,7.4484e-07
1107.0224833329519,0.0,1e-09
1107.0565833330154,0.0,7.4222e-07
1107.0906999985377,0.0,1e-09
1107.1248666644096,0.0,7.4222e-07
1107.158983329932,0.0,1e-09
1107.1931499997775,0.0,7.4222e-07
1107.227249999841,0.0,1e-09
1107.2613666653633,0.0,7.4222e-07
1107.2955333312352,0.0,1e-09
1107.3296499967576,0.0,7.4746e-07
1107.363816666603,0.0,1e-09
1107.3979166666666,0.0,7.4484e-07
1107.432033332189,0.0,1e-09
1107.4661999980608,0.0,7.4484e-07
1107.5003166635831,0.0,1e-09
1107.5344833334286,0.0,7.4484e-07
1107.5685833334924,0.0,1e-09
1107.6026999990145,0.0,7.4484e-07
1107.6368666648864,0.0,1e-09
1107.6709833304087,0.0,7.4222e-07
1107.7050833304722,0.0,1e-09
1107.739250000318,0.0,7.4746e-07
1107.77336666584,0.0,1e-09
1107.8074833313624,0.0,7.4746e-07
1107.8416499972343,0.0,1e-09
1107.8757499972978,0.0,7.4484e-07
1107.90991666317,0.0,1e-09
1107.9440333326659,0.0,7.4746e-07
1107.978149998188,0.0,1e-09
1108.0123166640599,0.0,7.4484e-07
1108.0464166641236,0.0,1e-09
1108.0805833299955,0.0,7.4484e-07
1108.1146999994914,0.0,1e-09
1108.1488166650136,0.0,7.4746e-07
1108.1829833308855,0.0,1e-09
1108.2170833309492,0.0,7.4222e-07
1108.2512499968211,0.0,1.602e-09
1108.285366666317,0.0,7.4484e-07
1108.3194833318391,0.0,1e-09
1108.3536499977113,0.0,7.4222e-07
1108.3877499977748,0.0,1e-09
1108.4219166636467,0.0,7.4222e-07
1108.4560333331426,0.0,1.602e-09
1108.490149998665,0.0,7.4484e-07
1108.5243166645369,0.0,1.602e-09
1108.5584166646004,0.0,7.4484e-07
1108.5925833304723,0.0,1.602e-09
1108.6266999999682,0.0,7.4484e-07
1108.6608166654905,0.0,1e-09
1108.6949833313624,0.0,7.3959e-07
1108.729083331426,0.0,1.602e-09
1108.7631999969483,0.0,7.4484e-07
1108.7973666667938,0.0,1e-09
1108.831483332316,0.0,7.4222e-07
1108.865649998188,0.0,1e-09
1108.8997499982515,0.0,7.4484e-07
1108.9338666637739,0.0,1.602e-09
1108.9680333336194,0.0,7.3959e-07
1109.0021499991417,0.0,1.602e-09
1109.0363166650136,0.0,7.3959e-07
1109.0704166650771,0.0,1e-09
1109.1045333305995,0.0,7.4222e-07
1109.1386999964714,0.0,1.602e-09
1109.1728166659673,0.0,7.4222e-07
1109.2069833318392,0.0,1e-09
1109.241083331903,0.0,7.4222e-07
1109.275199997425,0.0,1e-09
1109.309316666921,0.0,7.3959e-07
1109.3434833327929,0.0,1.602e-09
1109.3775833328566,0.0,7.3959e-07
1109.4117499987285,0.0,1e-09
1109.4458666642506,0.0,7.3959e-07
1109.479983329773,0.0,1e-09
1109.5141499996184,0.0,7.3959e-07
1109.5482499996822,0.0,1e-09
1109.582416665554,0.0,7.3959e-07
1109.6165333310762,0.0,1e-09
1109.6506499965985,0.0,7.3697e-07
1109.6848166664442,0.0,1.602e-09
1109.7189166665078,0.0,7.3959e-07
1109.7530833323797,0.0,1.602e-09
1109.787199997902,0.0,7.3959e-07
1109.821316663424,0.0,1.602e-09
1109.8554833332698,0.0,7.3697e-07
1109.8895833333333,0.0,2.7165e-09
1109.9237499992053,0.0,7.3435e-07
1109.9578666647276,0.0,2.7165e-09
1109.9919833302497,0.0,7.3435e-07
1110.0261500000954,0.0,2.7165e-09
1110.060250000159,0.0,7.3697e-07
1110.0944166660308,0.0,1.602e-09
1110.1285333315532,0.0,7.3435e-07
1110.1626499970755,0.0,2.7165e-09
1110.196816666921,0.0,7.3697e-07
1110.2309166669845,0.0,2.7165e-09
1110.2650833328564,0.0,7.3435e-07
1110.2991999983788,0.0,2.7165e-09
1110.333316663901,0.0,7.3697e-07
1110.367483329773,0.0,1.602e-09
1110.4015833298365,0.0,7.3435e-07
1110.4356999993324,0.0,1.602e-09
1110.4698666652043,0.0,7.3697e-07
1110.5039833307267,0.0,2.7165e-09
1110.5381499965986,0.0,7.3435e-07
1110.572249996662,0.0,1.602e-09
1110.606366666158,0.0,7.3435e-07
1110.64053333203,0.0,1e-09
1110.6746499975523,0.0,7.3435e-07
1110.7088166634242,0.0,1.602e-09
1110.7429166634877,0.0,7.3435e-07
1110.7770333329836,0.0,1e-09
1110.8111999988555,0.0,7.3435e-07
1110.8453166643778,0.0,1e-09
1110.8794833302497,0.0,7.3697e-07
1110.9135833303133,0.0,1e-09
1110.9476999998092,0.0,7.3697e-07
1110.9818666656813,0.0,1e-09
1111.0159833312034,0.0,7.3697e-07
1111.0501499970753,0.0,1.602e-09
1111.084249997139,0.0,7.3697e-07
1111.118366666635,0.0,1.602e-09
1111.152533332507,0.0,7.3697e-07
1111.186649998029,0.0,1e-09
1111.220816663901,0.0,7.3697e-07
1111.2549166639647,0.0,1e-09
1111.2890333334606,0.0,7.3697e-07
1111.3231999993325,0.0,1e-09
1111.3573166648546,0.0,7.3435e-07
1111.3914833307267,0.0,2.7165e-09
1111.4255833307902,0.0,7.3959e-07
1111.4597000002861,0.0,1.602e-09
1111.4938166658083,0.0,7.3435e-07
1111.5279833316804,0.0,1.602e-09
1111.562083331744,0.0,7.3435e-07
1111.5962499976158,0.0,1e-09
1111.6303666631381,0.0,7.3172e-07
1111.664483332634,0.0,1e-09
1111.698649998506,0.0,7.3435e-07
1111.7327499985695,0.0,1.602e-09
1111.7669166644414,0.0,7.3435e-07
1111.8010333299637,0.0,1.602e-09
1111.8351499994596,0.0,7.3172e-07
1111.8693166653316,0.0,1e-09
1111.903416665395,0.0,7.3435e-07
1111.937583331267,0.0,1.602e-09
1111.9716999967893,0.0,7.2647e-07
1112.0058166662852,0.0,1.602e-09
1112.0399833321571,0.0,7.3172e-07
1112.0740833322207,0.0,1e-09
1112.1082499980926,0.0,7.3172e-07
1112.142366663615,0.0,1e-09
1112.1764833331108,0.0,7.3172e-07
1112.2106499989827,0.0,1e-09
1112.2447499990462,0.0,7.291e-07
1112.2789166649184,0.0,1e-09
1112.3130333304405,0.0,7.2647e-07
1112.3471499999364,0.0,1e-09
1112.3813166658083,0.0,7.2385e-07
1112.415416665872,0.0,1e-09
1112.449583331744,0.0,7.2385e-07
1112.483699997266,0.0,1.602e-09
1112.517816666762,0.0,7.2385e-07
1112.5519833326339,0.0,1e-09
1112.5860833326976,0.0,7.2385e-07
1112.6201999982197,0.0,1.602e-09
1112.6543666640916,0.0,7.2647e-07
1112.6884833335876,0.0,1.602e-09
1112.7226499994597,0.0,7.2123e-07
1112.7567499995232,0.0,1.602e-09
1112.7908666650453,0.0,7.2123e-07
1112.8250333309174,0.0,1.602e-09
1112.8591499964396,0.0,7.2123e-07
1112.8933166662853,0.0,1e-09
1112.9274166663488,0.0,7.2385e-07
1112.9615333318711,0.0,1e-09
1112.995699997743,0.0,7.2123e-07
1113.0298166632651,0.0,1e-09
1113.0639833331109,0.0,7.1861e-07
1113.0980833331744,0.0,1.602e-09
1113.1321999986967,0.0,7.2385e-07
1113.1663166642188,0.0,3.831e-09
1113.200483330091,0.0,7.1861e-07
1113.2345833301545,0.0,3.831e-09
1113.26875,0.0,7.2123e-07
1113.3028666655223,0.0,3.831e-09
1113.3369833310446,0.0,7.2123e-07
1113.3711499969165,0.0,3.831e-09
1113.40524999698,0.0,7.1861e-07
1113.4394166668255,0.0,3.831e-09
1113.4735333323479,0.0,7.2385e-07
1113.5076499978702,0.0,1.602e-09
1113.541816663742,0.0,7.2123e-07
1113.5759166638056,0.0,1e-09
1113.6100833336511,0.0,7.1861e-07
1113.6441999991735,0.0,1.602e-09
1113.6783166646958,0.0,7.1861e-07
1113.7124833305677,0.0,1.602e-09
1113.7465833306312,0.0,7.1861e-07
1113.7807499965031,0.0,2.7165e-09
1113.814866665999,0.0,7.1861e-07
1113.8489833315214,0.0,1.602e-09
1113.8831499973933,0.0,7.1861e-07
1113.9172499974568,0.0,1e-09
1113.9514166633287,0.0,7.1598e-07
1113.9855333328246,0.0,1e-09
1114.019649998347,0.0,7.1861e-07
1114.0538166642189,0.0,1.602e-09
1114.0879166642824,0.0,7.1861e-07
1114.1220833301545,0.0,1e-09
1114.1561999996504,0.0,7.1861e-07
1114.1903166651725,0.0,1e-09
1114.2244833310444,0.0,7.1598e-07
1114.2585833311082,0.0,1.602e-09
1114.2926999966303,0.0,7.1598e-07
1114.326866666476,0.0,1.602e-09
1114.360983331998,0.0,7.1598e-07
1114.39514999787,0.0,1e-09
1114.4292499979338,0.0,7.1598e-07
1114.4633666634559,0.0,1e-09
1114.4975333333016,0.0,7.1598e-07
1114.5316499988237,0.0,1e-09
1114.5658166646958,0.0,7.1598e-07
1114.5999166647593,0.0,1e-09
1114.6340333302817,0.0,7.1861e-07
1114.6682000001272,0.0,1e-09
1114.7023166656495,0.0,7.1598e-07
1114.7364833315214,0.0,1e-09
1114.770583331585,0.0,7.1598e-07
1114.8046999971073,0.0,1e-09
1114.8388666669528,0.0,7.1598e-07
1114.872983332475,0.0,1e-09
1114.907149998347,0.0,7.1861e-07
1114.9412499984105,0.0,1e-09
1114.9753666639328,0.0,7.1598e-07
1115.0095333298048,0.0,1e-09
1115.0436499993007,0.0,7.1598e-07
1115.0778166651726,0.0,1e-09
1115.111916665236,0.0,7.1598e-07
1115.1460333307584,0.0,1e-09
1115.1801999966303,0.0,7.1861e-07
1115.2143166661263,0.0,1e-09
1115.2484833319982,0.0,7.1598e-07
1115.2825833320617,0.0,1e-09
1115.316699997584,0.0,7.1861e-07
1115.3508166631063,0.0,1e-09
1115.3849833329518,0.0,7.1598e-07
1115.4190833330154,0.0,1e-09
1115.4532499988875,0.0,7.1598e-07
1115.4873666644096,0.0,1e-09
1115.521483329932,0.0,7.1598e-07
1115.5556499997774,0.0,1e-09
1115.5897499998412,0.0,7.1598e-07
1115.623916665713,0.0,1e-09
1115.6580333312352,0.0,7.1598e-07
1115.6921499967575,0.0,1.602e-09
1115.726316666603,0.0,7.1861e-07
1115.7604166666667,0.0,1e-09
1115.7945833325387,0.0,7.1598e-07
1115.8286999980608,0.0,1e-09
1115.862816663583,0.0,7.1598e-07
1115.8969833334288,0.0,1e-09
1115.9310833334923,0.0,7.1861e-07
1115.9652499993642,0.0,1e-09
1115.9993666648866,0.0,7.1336e-07
1116.0334833304087,0.0,1e-09
1116.0676500002544,0.0,7.1336e-07
